year,month,latitude,longitude,is_nan
1997,12,5.65,-73.99,0
1997,12,5.65,-73.74,0
1997,12,5.65,-73.49,0
1997,12,5.65,-73.24,0
1997,12,5.65,-72.99,0
1997,12,5.9,-74.99,0
1997,12,5.9,-74.74,0
1997,12,5.9,-74.49,0
1997,12,5.9,-74.24,0
1997,12,5.9,-73.99,0
1997,12,5.9,-73.74,0
1997,12,5.9,-73.49,0
1997,12,5.9,-73.24,0
1997,12,5.9,-72.99,0
1998,1,3.65,-74.99,0
1998,1,3.65,-74.74,0
1998,1,3.65,-74.49,0
1998,1,3.65,-74.24,0
1998,1,3.65,-73.99,0
1998,1,3.65,-73.74,0
1998,1,3.65,-73.49,0
1998,1,3.65,-73.24,0
1998,1,3.65,-72.99,0
1998,1,3.9000000000000004,-74.99,0
1998,1,3.9000000000000004,-74.74,0
1998,1,3.9000000000000004,-74.49,0
1998,1,3.9000000000000004,-74.24,0
1998,1,3.9000000000000004,-73.99,0
1998,1,3.9000000000000004,-73.74,0
1998,1,3.9000000000000004,-73.49,0
1998,1,3.9000000000000004,-73.24,0
1998,1,3.9000000000000004,-72.99,0
1998,1,4.15,-74.99,0
1998,1,4.15,-74.74,0
1998,1,4.15,-74.49,0
1998,1,4.15,-74.24,0
1998,1,4.15,-73.99,0
1998,1,4.15,-73.74,0
1998,1,4.15,-73.49,0
1998,1,4.15,-73.24,0
1998,1,4.15,-72.99,0
1998,1,4.4,-74.99,0
1998,1,4.4,-74.74,0
1998,1,4.4,-74.49,0
1998,1,4.4,-74.24,0
1998,1,4.4,-73.99,0
1998,1,4.4,-73.74,0
1998,1,4.4,-73.49,0
1998,1,4.4,-73.24,0
1998,1,4.4,-72.99,0
1998,1,4.65,-74.99,0
1998,1,4.65,-74.74,0
1998,1,4.65,-74.49,0
1998,1,4.65,-74.24,0
1998,1,4.65,-73.99,0
1998,1,4.65,-73.74,0
1998,1,4.65,-73.49,0
1998,1,4.65,-73.24,0
1998,1,4.65,-72.99,0
1998,1,4.9,-74.99,0
1998,1,4.9,-74.74,0
1998,1,4.9,-74.49,0
1998,1,4.9,-74.24,0
1998,1,4.9,-73.99,0
1998,1,4.9,-73.74,0
1998,1,4.9,-73.49,0
1998,1,4.9,-73.24,0
1998,1,4.9,-72.99,0
1998,1,5.15,-74.99,0
1998,1,5.15,-74.74,0
1998,1,5.15,-74.49,0
1998,1,5.15,-74.24,0
1998,1,5.15,-73.99,0
1998,1,5.15,-73.74,0
1998,1,5.15,-73.49,0
1998,1,5.15,-73.24,0
1998,1,5.15,-72.99,0
1998,1,5.4,-74.99,0
1998,1,5.4,-74.74,0
1998,1,5.4,-74.49,0
1998,1,5.4,-74.24,0
1998,1,5.4,-73.99,0
1998,1,5.4,-73.74,0
1998,1,5.4,-73.49,0
1998,1,5.4,-73.24,0
1998,1,5.4,-72.99,0
1998,1,5.65,-74.99,0
1998,1,5.65,-74.74,0
1998,1,5.65,-74.49,0
1998,1,5.65,-74.24,0
1998,1,5.65,-73.99,0
1998,1,5.65,-73.74,0
1998,1,5.65,-73.49,0
1998,1,5.65,-73.24,0
1998,1,5.65,-72.99,0
1998,1,5.9,-74.99,0
1998,1,5.9,-74.74,0
1998,1,5.9,-74.49,0
1998,1,5.9,-74.24,0
1998,1,5.9,-73.99,0
1998,1,5.9,-73.74,0
1998,1,5.9,-73.49,0
1998,1,5.9,-73.24,0
1998,1,5.9,-72.99,0
1998,2,3.65,-74.99,0
1998,2,3.65,-74.74,0
1998,2,3.65,-74.49,0
1998,2,3.65,-74.24,0
1998,2,3.65,-73.99,0
1998,2,3.65,-73.74,0
1998,2,3.65,-73.49,0
1998,2,3.65,-73.24,0
1998,2,3.65,-72.99,0
1998,2,3.9000000000000004,-74.99,0
1998,2,3.9000000000000004,-74.74,0
1998,2,3.9000000000000004,-74.49,0
1998,2,3.9000000000000004,-74.24,0
1998,2,3.9000000000000004,-73.99,0
1998,2,3.9000000000000004,-73.74,0
1998,2,3.9000000000000004,-73.49,0
1998,2,3.9000000000000004,-73.24,0
1998,2,3.9000000000000004,-72.99,0
1998,2,4.15,-74.99,0
1998,2,4.15,-74.74,0
1998,2,4.15,-74.49,0
1998,2,4.15,-74.24,0
1998,2,4.15,-73.99,0
1998,2,4.15,-73.74,0
1998,2,4.15,-73.49,0
1998,2,4.15,-73.24,0
1998,2,4.15,-72.99,0
1998,2,4.4,-74.99,0
1998,2,4.4,-74.74,0
1998,2,4.4,-74.49,0
1998,2,4.4,-74.24,0
1998,2,4.4,-73.99,0
1998,2,4.4,-73.74,0
1998,2,4.4,-73.49,0
1998,2,4.4,-73.24,0
1998,2,4.4,-72.99,0
1998,2,4.65,-74.99,0
1998,2,4.65,-74.74,0
1998,2,4.65,-74.49,0
1998,2,4.65,-74.24,0
1998,2,4.65,-73.99,0
1998,2,4.65,-73.74,0
1998,2,4.65,-73.49,0
1998,2,4.65,-73.24,0
1998,2,4.65,-72.99,0
1998,2,4.9,-74.99,0
1998,2,4.9,-74.74,0
1998,2,4.9,-74.49,0
1998,2,4.9,-74.24,0
1998,2,4.9,-73.99,0
1998,2,4.9,-73.74,0
1998,2,4.9,-73.49,0
1998,2,4.9,-73.24,0
1998,2,4.9,-72.99,0
1998,2,5.15,-74.99,0
1998,2,5.15,-74.74,0
1998,2,5.15,-74.49,0
1998,2,5.15,-74.24,0
1998,2,5.15,-73.99,0
1998,2,5.15,-73.74,0
1998,2,5.15,-73.49,0
1998,2,5.15,-73.24,0
1998,2,5.15,-72.99,0
1998,2,5.4,-74.99,0
1998,2,5.4,-74.74,0
1998,2,5.4,-74.49,0
1998,2,5.4,-74.24,0
1998,2,5.4,-73.99,0
1998,2,5.4,-73.74,0
1998,2,5.4,-73.49,0
1998,2,5.4,-73.24,0
1998,2,5.4,-72.99,0
1998,2,5.65,-74.99,0
1998,2,5.65,-74.74,0
1998,2,5.65,-74.49,0
1998,2,5.65,-74.24,0
1998,2,5.65,-73.99,0
1998,2,5.65,-73.74,0
1998,2,5.65,-73.49,0
1998,2,5.65,-73.24,0
1998,2,5.65,-72.99,0
1998,2,5.9,-74.99,0
1998,2,5.9,-74.74,0
1998,2,5.9,-74.49,0
1998,2,5.9,-74.24,0
1998,2,5.9,-73.99,0
1998,2,5.9,-73.74,0
1998,2,5.9,-73.49,0
1998,2,5.9,-73.24,0
1998,2,5.9,-72.99,0
1998,3,3.65,-74.99,0
1998,3,3.65,-74.74,0
1998,3,3.65,-74.49,0
1998,3,3.65,-74.24,0
1998,3,3.65,-73.99,0
1998,3,3.65,-73.74,0
1998,3,3.65,-73.49,0
1998,3,3.65,-73.24,0
1998,3,3.65,-72.99,0
1998,3,3.9000000000000004,-74.99,0
1998,3,3.9000000000000004,-74.74,0
1998,3,3.9000000000000004,-74.49,0
1998,3,3.9000000000000004,-74.24,0
1998,3,3.9000000000000004,-73.99,0
1998,3,3.9000000000000004,-73.74,0
1998,3,3.9000000000000004,-73.49,0
1998,3,3.9000000000000004,-73.24,0
1998,3,3.9000000000000004,-72.99,0
1998,3,4.15,-74.99,0
1998,3,4.15,-74.74,0
1998,3,4.15,-74.49,0
1998,3,4.15,-74.24,0
1998,3,4.15,-73.99,0
1998,3,4.15,-73.74,0
1998,3,4.15,-73.49,0
1998,3,4.15,-73.24,0
1998,3,4.15,-72.99,0
1998,3,4.4,-74.99,0
1998,3,4.4,-74.74,0
1998,3,4.4,-74.49,0
1998,3,4.4,-74.24,0
1998,3,4.4,-73.99,0
1998,3,4.4,-73.74,0
1998,3,4.4,-73.49,0
1998,3,4.4,-73.24,0
1998,3,4.4,-72.99,0
1998,3,4.65,-74.99,0
1998,3,4.65,-74.74,0
1998,3,4.65,-74.49,0
1998,3,4.65,-74.24,0
1998,3,4.65,-73.99,0
1998,3,4.65,-73.74,0
1998,3,4.65,-73.49,0
1998,3,4.65,-73.24,0
1998,3,4.65,-72.99,0
1998,3,4.9,-74.99,0
1998,3,4.9,-74.74,0
1998,3,4.9,-74.49,0
1998,3,4.9,-74.24,0
1998,3,4.9,-73.99,0
1998,3,4.9,-73.74,0
1998,3,4.9,-73.49,0
1998,3,4.9,-73.24,0
1998,3,4.9,-72.99,0
1998,3,5.15,-74.99,0
1998,3,5.15,-74.74,0
1998,3,5.15,-74.49,0
1998,3,5.15,-74.24,0
1998,3,5.15,-73.99,0
1998,3,5.15,-73.74,0
1998,3,5.15,-73.49,0
1998,3,5.15,-73.24,0
1998,3,5.15,-72.99,0
1998,3,5.4,-74.99,0
1998,3,5.4,-74.74,0
1998,3,5.4,-74.49,0
1998,3,5.4,-74.24,0
1998,3,5.4,-73.99,0
1998,3,5.4,-73.74,0
1998,3,5.4,-73.49,0
1998,3,5.4,-73.24,0
1998,3,5.4,-72.99,0
1998,3,5.65,-74.99,0
1998,3,5.65,-74.74,0
1998,3,5.65,-74.49,0
1998,3,5.65,-74.24,0
1998,3,5.65,-73.99,0
1998,3,5.65,-73.74,0
1998,3,5.65,-73.49,0
1998,3,5.65,-73.24,0
1998,3,5.65,-72.99,0
1998,3,5.9,-74.99,0
1998,3,5.9,-74.74,0
1998,3,5.9,-74.49,0
1998,3,5.9,-74.24,0
1998,3,5.9,-73.99,0
1998,3,5.9,-73.74,0
1998,3,5.9,-73.49,0
1998,3,5.9,-73.24,0
1998,3,5.9,-72.99,0
1998,4,3.65,-74.99,0
1998,4,3.65,-74.74,0
1998,4,3.65,-74.49,0
1998,4,3.65,-74.24,0
1998,4,3.65,-73.99,0
1998,4,3.65,-73.74,0
1998,4,3.65,-73.49,0
1998,4,3.65,-73.24,0
1998,4,3.65,-72.99,0
1998,4,3.9000000000000004,-74.99,0
1998,4,3.9000000000000004,-74.74,0
1998,4,3.9000000000000004,-74.49,0
1998,4,3.9000000000000004,-74.24,0
1998,4,3.9000000000000004,-73.99,0
1998,4,3.9000000000000004,-73.74,0
1998,4,3.9000000000000004,-73.49,0
1998,4,3.9000000000000004,-73.24,0
1998,4,3.9000000000000004,-72.99,0
1998,4,4.15,-74.99,0
1998,4,4.15,-74.74,0
1998,4,4.15,-74.49,0
1998,4,4.15,-74.24,0
1998,4,4.15,-73.99,0
1998,4,4.15,-73.74,0
1998,4,4.15,-73.49,0
1998,4,4.15,-73.24,0
1998,4,4.15,-72.99,0
1998,4,4.4,-74.99,0
1998,4,4.4,-74.74,0
1998,4,4.4,-74.49,0
1998,4,4.4,-74.24,0
1998,4,4.4,-73.99,0
1998,4,4.4,-73.74,0
1998,4,4.4,-73.49,0
1998,4,4.4,-73.24,0
1998,4,4.4,-72.99,0
1998,4,4.65,-74.99,0
1998,4,4.65,-74.74,0
1998,4,4.65,-74.49,0
1998,4,4.65,-74.24,0
1998,4,4.65,-73.99,0
1998,4,4.65,-73.74,0
1998,4,4.65,-73.49,0
1998,4,4.65,-73.24,0
1998,4,4.65,-72.99,0
1998,4,4.9,-74.99,0
1998,4,4.9,-74.74,0
1998,4,4.9,-74.49,0
1998,4,4.9,-74.24,0
1998,4,4.9,-73.99,0
1998,4,4.9,-73.74,0
1998,4,4.9,-73.49,0
1998,4,4.9,-73.24,0
1998,4,4.9,-72.99,0
1998,4,5.15,-74.99,0
1998,4,5.15,-74.74,0
1998,4,5.15,-74.49,0
1998,4,5.15,-74.24,0
1998,4,5.15,-73.99,0
1998,4,5.15,-73.74,0
1998,4,5.15,-73.49,0
1998,4,5.15,-73.24,0
1998,4,5.15,-72.99,0
1998,4,5.4,-74.99,0
1998,4,5.4,-74.74,0
1998,4,5.4,-74.49,0
1998,4,5.4,-74.24,0
1998,4,5.4,-73.99,0
1998,4,5.4,-73.74,0
1998,4,5.4,-73.49,0
1998,4,5.4,-73.24,0
1998,4,5.4,-72.99,0
1998,4,5.65,-74.99,0
1998,4,5.65,-74.74,0
1998,4,5.65,-74.49,0
1998,4,5.65,-74.24,0
1998,4,5.65,-73.99,0
1998,4,5.65,-73.74,0
1998,4,5.65,-73.49,0
1998,4,5.65,-73.24,0
1998,4,5.65,-72.99,0
1998,4,5.9,-74.99,0
1998,4,5.9,-74.74,0
1998,4,5.9,-74.49,0
1998,4,5.9,-74.24,0
1998,4,5.9,-73.99,0
1998,4,5.9,-73.74,0
1998,4,5.9,-73.49,0
1998,4,5.9,-73.24,0
1998,4,5.9,-72.99,0
1998,5,3.65,-74.99,0
1998,5,3.65,-74.74,0
1998,5,3.65,-74.49,0
1998,5,3.65,-74.24,0
1998,5,3.65,-73.99,0
1998,5,3.65,-73.74,0
1998,5,3.65,-73.49,0
1998,5,3.65,-73.24,0
1998,5,3.65,-72.99,0
1998,5,3.9000000000000004,-74.99,0
1998,5,3.9000000000000004,-74.74,0
1998,5,3.9000000000000004,-74.49,0
1998,5,3.9000000000000004,-74.24,0
1998,5,3.9000000000000004,-73.99,0
1998,5,3.9000000000000004,-73.74,0
1998,5,3.9000000000000004,-73.49,0
1998,5,3.9000000000000004,-73.24,0
1998,5,3.9000000000000004,-72.99,0
1998,5,4.15,-74.99,0
1998,5,4.15,-74.74,0
1998,5,4.15,-74.49,0
1998,5,4.15,-74.24,0
1998,5,4.15,-73.99,0
1998,5,4.15,-73.74,0
1998,5,4.15,-73.49,0
1998,5,4.15,-73.24,0
1998,5,4.15,-72.99,0
1998,5,4.4,-74.99,0
1998,5,4.4,-74.74,0
1998,5,4.4,-74.49,0
1998,5,4.4,-74.24,0
1998,5,4.4,-73.99,0
1998,5,4.4,-73.74,0
1998,5,4.4,-73.49,0
1998,5,4.4,-73.24,0
1998,5,4.4,-72.99,0
1998,5,4.65,-74.99,0
1998,5,4.65,-74.74,0
1998,5,4.65,-74.49,0
1998,5,4.65,-74.24,0
1998,5,4.65,-73.99,0
1998,5,4.65,-73.74,0
1998,5,4.65,-73.49,0
1998,5,4.65,-73.24,0
1998,5,4.65,-72.99,0
1998,5,4.9,-74.99,0
1998,5,4.9,-74.74,0
1998,5,4.9,-74.49,0
1998,5,4.9,-74.24,0
1998,5,4.9,-73.99,0
1998,5,4.9,-73.74,0
1998,5,4.9,-73.49,0
1998,5,4.9,-73.24,0
1998,5,4.9,-72.99,0
1998,5,5.15,-74.99,0
1998,5,5.15,-74.74,0
1998,5,5.15,-74.49,0
1998,5,5.15,-74.24,0
1998,5,5.15,-73.99,0
1998,5,5.15,-73.74,0
1998,5,5.15,-73.49,0
1998,5,5.15,-73.24,0
1998,5,5.15,-72.99,0
1998,5,5.4,-74.99,0
1998,5,5.4,-74.74,0
1998,5,5.4,-74.49,0
1998,5,5.4,-74.24,0
1998,5,5.4,-73.99,0
1998,5,5.4,-73.74,0
1998,5,5.4,-73.49,0
1998,5,5.4,-73.24,0
1998,5,5.4,-72.99,0
1998,5,5.65,-74.99,0
1998,5,5.65,-74.74,0
1998,5,5.65,-74.49,0
1998,5,5.65,-74.24,0
1998,5,5.65,-73.99,0
1998,5,5.65,-73.74,0
1998,5,5.65,-73.49,0
1998,5,5.65,-73.24,0
1998,5,5.65,-72.99,0
1998,5,5.9,-74.99,0
1998,5,5.9,-74.74,0
1998,5,5.9,-74.49,0
1998,5,5.9,-74.24,0
1998,5,5.9,-73.99,0
1998,5,5.9,-73.74,0
1998,5,5.9,-73.49,0
1998,5,5.9,-73.24,0
1998,5,5.9,-72.99,0
1998,6,3.65,-74.99,0
1998,6,3.65,-74.74,0
1998,6,3.65,-74.49,0
1998,6,3.65,-74.24,0
1998,6,3.65,-73.99,0
1998,6,3.65,-73.74,0
1998,6,3.65,-73.49,0
1998,6,3.65,-73.24,0
1998,6,3.65,-72.99,0
1998,6,3.9000000000000004,-74.99,0
1998,6,3.9000000000000004,-74.74,0
1998,6,3.9000000000000004,-74.49,0
1998,6,3.9000000000000004,-74.24,0
1998,6,3.9000000000000004,-73.99,0
1998,6,3.9000000000000004,-73.74,0
1998,6,3.9000000000000004,-73.49,0
1998,6,3.9000000000000004,-73.24,0
1998,6,3.9000000000000004,-72.99,0
1998,6,4.15,-74.99,0
1998,6,4.15,-74.74,0
1998,6,4.15,-74.49,0
1998,6,4.15,-74.24,0
1998,6,4.15,-73.99,0
1998,6,4.15,-73.74,0
1998,6,4.15,-73.49,0
1998,6,4.15,-73.24,0
1998,6,4.15,-72.99,0
1998,6,4.4,-74.99,0
1998,6,4.4,-74.74,0
1998,6,4.4,-74.49,0
1998,6,4.4,-74.24,0
1998,6,4.4,-73.99,0
1998,6,4.4,-73.74,0
1998,6,4.4,-73.49,0
1998,6,4.4,-73.24,0
1998,6,4.4,-72.99,0
1998,6,4.65,-74.99,0
1998,6,4.65,-74.74,0
1998,6,4.65,-74.49,0
1998,6,4.65,-74.24,0
1998,6,4.65,-73.99,0
1998,6,4.65,-73.74,0
1998,6,4.65,-73.49,0
1998,6,4.65,-73.24,0
1998,6,4.65,-72.99,0
1998,6,4.9,-74.99,0
1998,6,4.9,-74.74,0
1998,6,4.9,-74.49,0
1998,6,4.9,-74.24,0
1998,6,4.9,-73.99,0
1998,6,4.9,-73.74,0
1998,6,4.9,-73.49,0
1998,6,4.9,-73.24,0
1998,6,4.9,-72.99,0
1998,6,5.15,-74.99,0
1998,6,5.15,-74.74,0
1998,6,5.15,-74.49,0
1998,6,5.15,-74.24,0
1998,6,5.15,-73.99,0
1998,6,5.15,-73.74,0
1998,6,5.15,-73.49,0
1998,6,5.15,-73.24,0
1998,6,5.15,-72.99,0
1998,6,5.4,-74.99,0
1998,6,5.4,-74.74,0
1998,6,5.4,-74.49,0
1998,6,5.4,-74.24,0
1998,6,5.4,-73.99,0
1998,6,5.4,-73.74,0
1998,6,5.4,-73.49,0
1998,6,5.4,-73.24,0
1998,6,5.4,-72.99,0
1998,6,5.65,-74.99,0
1998,6,5.65,-74.74,0
1998,6,5.65,-74.49,0
1998,6,5.65,-74.24,0
1998,6,5.65,-73.99,0
1998,6,5.65,-73.74,0
1998,6,5.65,-73.49,0
1998,6,5.65,-73.24,0
1998,6,5.65,-72.99,0
1998,6,5.9,-74.99,0
1998,6,5.9,-74.74,0
1998,6,5.9,-74.49,0
1998,6,5.9,-74.24,0
1998,6,5.9,-73.99,0
1998,6,5.9,-73.74,0
1998,6,5.9,-73.49,0
1998,6,5.9,-73.24,0
1998,6,5.9,-72.99,0
1998,7,3.65,-74.99,0
1998,7,3.65,-74.74,0
1998,7,3.65,-74.49,0
1998,7,3.65,-74.24,0
1998,7,3.65,-73.99,0
1998,7,3.65,-73.74,0
1998,7,3.65,-73.49,0
1998,7,3.65,-73.24,0
1998,7,3.65,-72.99,0
1998,7,3.9000000000000004,-74.99,0
1998,7,3.9000000000000004,-74.74,0
1998,7,3.9000000000000004,-74.49,0
1998,7,3.9000000000000004,-74.24,0
1998,7,3.9000000000000004,-73.99,0
1998,7,3.9000000000000004,-73.74,0
1998,7,3.9000000000000004,-73.49,0
1998,7,3.9000000000000004,-73.24,0
1998,7,3.9000000000000004,-72.99,0
1998,7,4.15,-74.99,0
1998,7,4.15,-74.74,0
1998,7,4.15,-74.49,0
1998,7,4.15,-74.24,0
1998,7,4.15,-73.99,0
1998,7,4.15,-73.74,0
1998,7,4.15,-73.49,0
1998,7,4.15,-73.24,0
1998,7,4.15,-72.99,0
1998,7,4.4,-74.99,0
1998,7,4.4,-74.74,0
1998,7,4.4,-74.49,0
1998,7,4.4,-74.24,0
1998,7,4.4,-73.99,0
1998,7,4.4,-73.74,0
1998,7,4.4,-73.49,0
1998,7,4.4,-73.24,0
1998,7,4.4,-72.99,0
1998,7,4.65,-74.99,0
1998,7,4.65,-74.74,0
1998,7,4.65,-74.49,0
1998,7,4.65,-74.24,0
1998,7,4.65,-73.99,0
1998,7,4.65,-73.74,0
1998,7,4.65,-73.49,0
1998,7,4.65,-73.24,0
1998,7,4.65,-72.99,0
1998,7,4.9,-74.99,0
1998,7,4.9,-74.74,0
1998,7,4.9,-74.49,0
1998,7,4.9,-74.24,0
1998,7,4.9,-73.99,0
1998,7,4.9,-73.74,0
1998,7,4.9,-73.49,0
1998,7,4.9,-73.24,0
1998,7,4.9,-72.99,0
1998,7,5.15,-74.99,0
1998,7,5.15,-74.74,0
1998,7,5.15,-74.49,0
1998,7,5.15,-74.24,0
1998,7,5.15,-73.99,0
1998,7,5.15,-73.74,0
1998,7,5.15,-73.49,0
1998,7,5.15,-73.24,0
1998,7,5.15,-72.99,0
1998,7,5.4,-74.99,0
1998,7,5.4,-74.74,0
1998,7,5.4,-74.49,0
1998,7,5.4,-74.24,0
1998,7,5.4,-73.99,0
1998,7,5.4,-73.74,0
1998,7,5.4,-73.49,0
1998,7,5.4,-73.24,0
1998,7,5.4,-72.99,0
1998,7,5.65,-74.99,0
1998,7,5.65,-74.74,0
1998,7,5.65,-74.49,0
1998,7,5.65,-74.24,0
1998,7,5.65,-73.99,0
1998,7,5.65,-73.74,0
1998,7,5.65,-73.49,0
1998,7,5.65,-73.24,0
1998,7,5.65,-72.99,0
1998,7,5.9,-74.99,0
1998,7,5.9,-74.74,0
1998,7,5.9,-74.49,0
1998,7,5.9,-74.24,0
1998,7,5.9,-73.99,0
1998,7,5.9,-73.74,0
1998,7,5.9,-73.49,0
1998,7,5.9,-73.24,0
1998,7,5.9,-72.99,0
1998,8,3.65,-74.99,0
1998,8,3.65,-74.74,0
1998,8,3.65,-74.49,0
1998,8,3.65,-74.24,0
1998,8,3.65,-73.99,0
1998,8,3.65,-73.74,0
1998,8,3.65,-73.49,0
1998,8,3.65,-73.24,0
1998,8,3.65,-72.99,0
1998,8,3.9000000000000004,-74.99,0
1998,8,3.9000000000000004,-74.74,0
1998,8,3.9000000000000004,-74.49,0
1998,8,3.9000000000000004,-74.24,0
1998,8,3.9000000000000004,-73.99,0
1998,8,3.9000000000000004,-73.74,0
1998,8,3.9000000000000004,-73.49,0
1998,8,3.9000000000000004,-73.24,0
1998,8,3.9000000000000004,-72.99,0
1998,8,4.15,-74.99,0
1998,8,4.15,-74.74,0
1998,8,4.15,-74.49,0
1998,8,4.15,-74.24,0
1998,8,4.15,-73.99,0
1998,8,4.15,-73.74,0
1998,8,4.15,-73.49,0
1998,8,4.15,-73.24,0
1998,8,4.15,-72.99,0
1998,8,4.4,-74.99,0
1998,8,4.4,-74.74,0
1998,8,4.4,-74.49,0
1998,8,4.4,-74.24,0
1998,8,4.4,-73.99,0
1998,8,4.4,-73.74,0
1998,8,4.4,-73.49,0
1998,8,4.4,-73.24,0
1998,8,4.4,-72.99,0
1998,8,4.65,-74.99,0
1998,8,4.65,-74.74,0
1998,8,4.65,-74.49,0
1998,8,4.65,-74.24,0
1998,8,4.65,-73.99,0
1998,8,4.65,-73.74,0
1998,8,4.65,-73.49,0
1998,8,4.65,-73.24,0
1998,8,4.65,-72.99,0
1998,8,4.9,-74.99,0
1998,8,4.9,-74.74,0
1998,8,4.9,-74.49,0
1998,8,4.9,-74.24,0
1998,8,4.9,-73.99,0
1998,8,4.9,-73.74,0
1998,8,4.9,-73.49,0
1998,8,4.9,-73.24,0
1998,8,4.9,-72.99,0
1998,8,5.15,-74.99,0
1998,8,5.15,-74.74,0
1998,8,5.15,-74.49,0
1998,8,5.15,-74.24,0
1998,8,5.15,-73.99,0
1998,8,5.15,-73.74,0
1998,8,5.15,-73.49,0
1998,8,5.15,-73.24,0
1998,8,5.15,-72.99,0
1998,8,5.4,-74.99,0
1998,8,5.4,-74.74,0
1998,8,5.4,-74.49,0
1998,8,5.4,-74.24,0
1998,8,5.4,-73.99,0
1998,8,5.4,-73.74,0
1998,8,5.4,-73.49,0
1998,8,5.4,-73.24,0
1998,8,5.4,-72.99,0
1998,8,5.65,-74.99,0
1998,8,5.65,-74.74,0
1998,8,5.65,-74.49,0
1998,8,5.65,-74.24,0
1998,8,5.65,-73.99,0
1998,8,5.65,-73.74,0
1998,8,5.65,-73.49,0
1998,8,5.65,-73.24,0
1998,8,5.65,-72.99,0
1998,8,5.9,-74.99,0
1998,8,5.9,-74.74,0
1998,8,5.9,-74.49,0
1998,8,5.9,-74.24,0
1998,8,5.9,-73.99,0
1998,8,5.9,-73.74,0
1998,8,5.9,-73.49,0
1998,8,5.9,-73.24,0
1998,8,5.9,-72.99,0
1998,9,3.65,-74.99,0
1998,9,3.65,-74.74,0
1998,9,3.65,-74.49,0
1998,9,3.65,-74.24,0
1998,9,3.65,-73.99,0
1998,9,3.65,-73.74,0
1998,9,3.65,-73.49,0
1998,9,3.65,-73.24,0
1998,9,3.65,-72.99,0
1998,9,3.9000000000000004,-74.99,0
1998,9,3.9000000000000004,-74.74,0
1998,9,3.9000000000000004,-74.49,0
1998,9,3.9000000000000004,-74.24,0
1998,9,3.9000000000000004,-73.99,0
1998,9,3.9000000000000004,-73.74,0
1998,9,3.9000000000000004,-73.49,0
1998,9,3.9000000000000004,-73.24,0
1998,9,3.9000000000000004,-72.99,0
1998,9,4.15,-74.99,0
1998,9,4.15,-74.74,0
1998,9,4.15,-74.49,0
1998,9,4.15,-74.24,0
1998,9,4.15,-73.99,0
1998,9,4.15,-73.74,0
1998,9,4.15,-73.49,0
1998,9,4.15,-73.24,0
1998,9,4.15,-72.99,0
1998,9,4.4,-74.99,0
1998,9,4.4,-74.74,0
1998,9,4.4,-74.49,0
1998,9,4.4,-74.24,0
1998,9,4.4,-73.99,0
1998,9,4.4,-73.74,0
1998,9,4.4,-73.49,0
1998,9,4.4,-73.24,0
1998,9,4.4,-72.99,0
1998,9,4.65,-74.99,0
1998,9,4.65,-74.74,0
1998,9,4.65,-74.49,0
1998,9,4.65,-74.24,0
1998,9,4.65,-73.99,0
1998,9,4.65,-73.74,0
1998,9,4.65,-73.49,0
1998,9,4.65,-73.24,0
1998,9,4.65,-72.99,0
1998,9,4.9,-74.99,0
1998,9,4.9,-74.74,0
1998,9,4.9,-74.49,0
1998,9,4.9,-74.24,0
1998,9,4.9,-73.99,0
1998,9,4.9,-73.74,0
1998,9,4.9,-73.49,0
1998,9,4.9,-73.24,0
1998,9,4.9,-72.99,0
1998,9,5.15,-74.99,0
1998,9,5.15,-74.74,0
1998,9,5.15,-74.49,0
1998,9,5.15,-74.24,0
1998,9,5.15,-73.99,0
1998,9,5.15,-73.74,0
1998,9,5.15,-73.49,0
1998,9,5.15,-73.24,0
1998,9,5.15,-72.99,0
1998,9,5.4,-74.99,0
1998,9,5.4,-74.74,0
1998,9,5.4,-74.49,0
1998,9,5.4,-74.24,0
1998,9,5.4,-73.99,0
1998,9,5.4,-73.74,0
1998,9,5.4,-73.49,0
1998,9,5.4,-73.24,0
1998,9,5.4,-72.99,0
1998,9,5.65,-74.99,0
1998,9,5.65,-74.74,0
1998,9,5.65,-74.49,0
1998,9,5.65,-74.24,0
1998,9,5.65,-73.99,0
1998,9,5.65,-73.74,0
1998,9,5.65,-73.49,0
1998,9,5.65,-73.24,0
1998,9,5.65,-72.99,0
1998,9,5.9,-74.99,0
1998,9,5.9,-74.74,0
1998,9,5.9,-74.49,0
1998,9,5.9,-74.24,0
1998,9,5.9,-73.99,0
1998,9,5.9,-73.74,0
1998,9,5.9,-73.49,0
1998,9,5.9,-73.24,0
1998,9,5.9,-72.99,0
1998,10,3.65,-74.99,0
1998,10,3.65,-74.74,0
1998,10,3.65,-74.49,0
1998,10,3.65,-74.24,0
1998,10,3.65,-73.99,0
1998,10,3.65,-73.74,0
1998,10,3.65,-73.49,0
1998,10,3.65,-73.24,0
1998,10,3.65,-72.99,0
1998,10,3.9000000000000004,-74.99,0
1998,10,3.9000000000000004,-74.74,0
1998,10,3.9000000000000004,-74.49,0
1998,10,3.9000000000000004,-74.24,0
1998,10,3.9000000000000004,-73.99,0
1998,10,3.9000000000000004,-73.74,0
1998,10,3.9000000000000004,-73.49,0
1998,10,3.9000000000000004,-73.24,0
1998,10,3.9000000000000004,-72.99,0
1998,10,4.15,-74.99,0
1998,10,4.15,-74.74,0
1998,10,4.15,-74.49,0
